alpha_2_code,category_id,language,category_name,category_name_plural
US,141,fr,district fédéral,
US,265,en,outlying area,outlying areas
US,265,fr,zone éloignée,
US,335,en,state,states
US,335,fr,État,
UY,125,en,department,departments
UY,125,fr,département,
UY,125,es,departamento,
UZ,216,en,region,regions
UZ,216,fr,région,
UZ,216,uz,viloyat,
UZ,293,en,republic,republics
UZ,293,fr,république,
UZ,293,uz,respublikasi,
UZ,445,en,city,cities
UZ,445,fr,ville,
UZ,445,uz,shahar,
VC,384,en,parish,parishes
VC,384,fr,paroisse,
VE,256,en,state,states
VE,256,fr,État,
VE,256,es,estado,
VE,312,en,federal dependency,Federal dependencies
VE,312,fr,dépendance fédérale,
VE,312,es,dependencia federal,
VE,385,en,capital district,capital districts
VE,385,fr,district de la capitale,
VE,385,es,distrito capital,
VN,126,en,province,provinces
VN,126,fr,province,
VN,126,vi,tinh,
VN,294,en,municipality,municipalities
VN,294,fr,municipalité,
VN,294,vi,thanh pho,
VU,170,en,province,provinces
VU,170,fr,province,
WF,464,en,administrative precinct,administrative precincts
WF,464,fr,circonscription,
WS,171,en,district,districts
WS,171,fr,district,
YE,142,en,municipality,municipalities
YE,142,fr,municipalité,
YE,386,ar,muḩāfaz̧ah,
YE,386,en,governorate,governorates
YE,386,fr,gouvernorat,
ZA,428,af,provinsie,
ZA,428,en,province,provinces
ZA,428,fr,province,
ZA,428,nr,iProvinsi,
ZA,428,,profense,
ZA,428,st,provense,
ZA,428,ss,fundzeni,
ZA,428,tn,porofense,
ZA,428,ts,fundzankulu,
ZA,428,ve,vundu,
ZA,428,xh,phondo,
ZA,428,zu,fundazwe,
ZM,168,en,province,provinces
ZM,168,fr,province,
ZW,169,en,province,provinces
ZW,169,fr,province,
